protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
10090.ENSMUSP00000000001 10090.ENSMUSP00000020316 0 0 0 116 90 0 67 183
10090.ENSMUSP00000000001 10090.ENSMUSP00000022816 0 0 0 62 0 0 137 155
10090.ENSMUSP00000000001 10090.ENSMUSP00000048234 0 0 0 0 147 0 166 258
10090.ENSMUSP00000000001 10090.ENSMUSP00000017365 0 0 0 0 165 0 0 165
10090.ENSMUSP00000000001 10090.ENSMUSP00000033545 0 0 0 0 179 0 57 192
10090.ENSMUSP00000000001 10090.ENSMUSP00000113105 0 0 0 0 179 0 417 500
10090.ENSMUSP00000000001 10090.ENSMUSP00000036031 0 0 0 58 181 0 85 232
10090.ENSMUSP00000000001 10090.ENSMUSP00000039580 0 0 0 60 158 0 81 209
10090.ENSMUSP00000000001 10090.ENSMUSP00000040516 0 0 0 0 196 0 0 196
10090.ENSMUSP00000000001 10090.ENSMUSP00000017460 0 0 0 0 0 900 0 900
10090.ENSMUSP00000000001 10090.ENSMUSP00000086207 0 0 0 78 155 600 138 695
10090.ENSMUSP00000000001 10090.ENSMUSP00000061493 0 0 0 156 45 0 0 159
10090.ENSMUSP00000000001 10090.ENSMUSP00000090329 0 0 0 0 196 0 0 196
10090.ENSMUSP00000000001 10090.ENSMUSP00000026270 0 0 0 187 0 0 49 193
10090.ENSMUSP00000000001 10090.ENSMUSP00000001115 0 0 0 0 119 0 148 218
10090.ENSMUSP00000000001 10090.ENSMUSP00000020101 0 0 0 0 181 0 85 218
10090.ENSMUSP00000000001 10090.ENSMUSP00000063804 0 0 0 0 179 0 57 192
10090.ENSMUSP00000000001 10090.ENSMUSP00000018012 0 0 0 65 220 0 100 286
